"model","manufacturer","light_type","color","wavelength_nm","mode","active_width_mm","active_height_mm","best_for"
"CST-RS12070-UV365","CST","Ring","UV","405","Continuous","120","70","CST官网：CST-RS12070-UV365；功率 15W；色温/波长 365-405nm；来源 https://www.cstmv.com/show/513.html"
"CST-RS9070-UV365","CST","Ring","UV","405","Continuous","90","90","CST官网：CST-RS9070-UV365；功率 11W；色温/波长 365-405nm；来源 https://www.cstmv.com/show/511.html"
"CST-RS7430-UV365","CST","Ring","UV","405","Continuous","74","74","CST官网：CST-RS7430-UV365；功率 4.1W；色温/波长 365-405nm；来源 https://www.cstmv.com/show/394.html"
"CST-RS5060-UV365","CST","Ring","UV","405","Continuous","50","50","CST官网：CST-RS5060-UV365；功率 3.1W；色温/波长 365-405nm；来源 https://www.cstmv.com/show/393.html"
"CST-2LPG300-W-TS","CST","Bar","White","475","Continuous","300","300","CST官网：CST-2LPG300-W-TS；功率 288W；色温/波长 465-475nm；来源 https://www.cstmv.com/show/1765.html"
"CST-2LPG300-B-TS","CST","Bar","Blue","475","Continuous","300","300","CST官网：CST-2LPG300-B-TS；功率 288W；色温/波长 465-475nm；来源 https://www.cstmv.com/show/1764.html"
"CST-2LPG600-G-TS","CST","Bar","Green","530","Continuous","600","600","CST官网：CST-2LPG600-G-TS；功率 448W；色温/波长 520-530nm；来源 https://www.cstmv.com/show/466.html"
"CST-2LPG600-B-TS","CST","Bar","Blue","475","Continuous","600","600","CST官网：CST-2LPG600-B-TS；功率 448W；色温/波长 465-475nm；来源 https://www.cstmv.com/show/465.html"
"CST-2LPG600-R-TS","CST","Bar","Red","630","Continuous","600","600","CST官网：CST-2LPG600-R-TS；功率 336W；色温/波长 620-630nm；来源 https://www.cstmv.com/show/371.html"
"CST-2LPG600-W-TS","CST","Bar","White","0","Continuous","600","600","CST官网：CST-2LPG600-W-TS；功率 448W；色温/波长 6000-10000K；来源 https://www.cstmv.com/show/368.html"
"CST-SDS175-W","CST","Dome","White","0","Continuous","175","175","CST官网：CST-SDS175-W；功率 1200W；色温/波长 6000-10000K；来源 https://www.cstmv.com/show/475.html"
"CST-SDS116-W","CST","Dome","White","0","Continuous","116","116","CST官网：CST-SDS116-W；功率 1056W；色温/波长 6000-10000K；来源 https://www.cstmv.com/show/474.html"
"CST-SCOSC3225-B","CST","Coaxial","Blue","475","Continuous","32","25","CST官网：CST-SCOSC3225-B；功率 456W；色温/波长 465-475nm；来源 https://www.cstmv.com/show/473.html"
"CST-SCOSC24-R","CST","Coaxial","Red","630","Continuous","24","24","CST官网：CST-SCOSC24-R；功率 312W；色温/波长 620-630nm；来源 https://www.cstmv.com/show/472.html"
"CST-SCOS40-W","CST","Coaxial","White","0","Continuous","40","40","CST官网：CST-SCOS40-W；功率 1200W；色温/波长 6000-10000K；来源 https://www.cstmv.com/show/471.html"
"CST-SCOS26-W","CST","Coaxial","White","0","Continuous","26","26","CST官网：CST-SCOS26-W；功率 312W；色温/波长 6000-10000K；来源 https://www.cstmv.com/show/470.html"
"CST-2SBS8228-W/B","CST","Bar","White","475","Continuous","82","28","CST官网：CST-2SBS8228-W/B；功率 1200W；色温/波长 465-475nm; 6000-10000K；来源 https://www.cstmv.com/show/469.html"
"CST-2SBS4728-W","CST","Bar","White","0","Continuous","47","28","CST官网：CST-2SBS4728-W；功率 768W；色温/波长 6000-10000K；来源 https://www.cstmv.com/show/468.html"
"CST-2SBS10238-W/B","CST","Bar","White","475","Continuous","102","38","CST官网：CST-2SBS10238-W/B；功率 912W；色温/波长 465-475nm; 6000-10000K；来源 https://www.cstmv.com/show/467.html"
"CST-BS17020-W","CST","Bar","White","0","Continuous","170","20","CST官网：CST-BS17020-W；功率 9.5W；色温/波长 6000-6500K；来源 https://www.cstmv.com/show/1934.html"
"CST-2BS14738-B","CST","Bar","Blue","475","Continuous","147","38","CST官网：CST-2BS14738-B；功率 11W；色温/波长 465-475nm；来源 https://www.cstmv.com/show/975.html"
"CST-2BS14728-W","CST","Bar","White","0","Continuous","147","28","CST官网：CST-2BS14728-W；功率 7.1W；色温/波长 6000-6500K；来源 https://www.cstmv.com/show/973.html"
"CST-2BS14728-R","CST","Bar","Red","630","Continuous","147","28","CST官网：CST-2BS14728-R；功率 4.8W；色温/波长 620-630nm；来源 https://www.cstmv.com/show/972.html"
"CST-2BS14728-G","CST","Bar","Green","530","Continuous","147","28","CST官网：CST-2BS14728-G；功率 7.1W；色温/波长 520-530nm；来源 https://www.cstmv.com/show/971.html"
"CST-2BS14728-B","CST","Bar","Blue","475","Continuous","147","28","CST官网：CST-2BS14728-B；功率 7.1W；色温/波长 465-475nm；来源 https://www.cstmv.com/show/970.html"
"CST-2BS14718-W","CST","Bar","White","0","Continuous","147","18","CST官网：CST-2BS14718-W；功率 3.6W；色温/波长 6000-6500K；来源 https://www.cstmv.com/show/964.html"
"CST-2BS14718-G","CST","Bar","Green","530","Continuous","147","18","CST官网：CST-2BS14718-R；功率 3.6W；色温/波长 520-530nm；来源 https://www.cstmv.com/show/961.html"
"CST-2BS14718-B","CST","Bar","Blue","475","Continuous","147","18","CST官网：CST-2BS14718-B；功率 3.6W；色温/波长 465-475nm；来源 https://www.cstmv.com/show/958.html"
"CST-2BS10238-W","CST","Bar","White","0","Continuous","102","38","CST官网：CST-2BS10238-W；功率 7.1W；色温/波长 6000-6500K；来源 https://www.cstmv.com/show/956.html"
"CST-RS27030-IR940","CST","Ring","IR","940","Continuous","270","30","CST官网：CST-RS27030-IR940；功率 未公开；色温/波长 未公开；来源 https://www.cstmv.com/show/1779.html"
"CST-TUG510270-IR850","CST","Bar","IR","850","Continuous","510","270","CST官网：CST-TUG510270-IR850；功率 360W；色温/波长 6000-6500K；来源 https://www.cstmv.com/show/1852.html"
"CST-CULPG450-IR850","CST","Bar","IR","630","Continuous","450","450","CST官网：CST-CULPG450-IR850；功率 58W；色温/波长 620-630nm；来源 https://www.cstmv.com/show/1851.html"
"CST-SAI280174-RGB-M","CST","Dome","RGB","0","Continuous","280","174","CST官网：CST-SAI280174-RGB-M；功率 68W；色温/波长 绿色520-530nm;红色620-630nm;蓝色465-475nm;；来源 https://www.cstmv.com/show/593.html"
"CST-SAI245140-RGBW-M","CST","Dome","RGBW","0","Continuous","245","140","CST官网：CST-SAI245140-RGBW-M；功率 86W；色温/波长 绿色520-530nm;红色620-630nm;蓝色465-475nm;白色6000-6500K；来源 https://www.cstmv.com/show/592.html"
"CST-SAI230114-RGB-M","CST","Dome","RGB","0","Continuous","230","114","CST官网：CST-SAI230114-RGB-M；功率 75W；色温/波长 绿色520-530nm;红色620-630nm;蓝色465-475nm；来源 https://www.cstmv.com/show/591.html"
"CST-SAI21066-RGB-M2","CST","Dome","RGB","0","Continuous","210","66","CST官网：CST-SAI21066-RGB-M2；功率 43W；色温/波长 未公开；来源 https://www.cstmv.com/show/432.html"
"CST-SAI11622-RGB-M","CST","Dome","RGB","0","Continuous","116","22","CST官网：CST-SAI11622-RGB-M；功率 17W；色温/波长 未公开；来源 https://www.cstmv.com/show/431.html"
"CST-RS3475-W","CST","Ring","White","0","Continuous","34","34","CST官网：CST-RS3475-W；功率 2W；色温/波长 6000-10000K；来源 https://www.cstmv.com/show/68.html"
"CST-RS3475-R","CST","Ring","Red","630","Continuous","34","34","CST官网：CST-RS3475-R；功率 1.2W；色温/波长 620-630 nm；来源 https://www.cstmv.com/show/63.html"
"CST-RS3475-B","CST","Ring","Blue","465","Continuous","34","34","CST官网：CST-RS3475-B；功率 2W；色温/波长 465nm-475nm；来源 https://www.cstmv.com/show/67.html"
"CST-RS3475-G","CST","Ring","Green","530","Continuous","34","34","CST官网：CST-RS3475-G；功率 1.2W；色温/波长 520-530nm；来源 https://www.cstmv.com/show/66.html"
"CST-RS4090-W","CST","Ring","White","0","Continuous","40","40","CST官网：CST-RS4090-W；功率 1.2W；色温/波长 6000-10000K；来源 https://www.cstmv.com/show/73.html"
"CST-RS4090-R","CST","Ring","Red","630","Continuous","40","40","CST官网：CST-RS4090-R；功率 0.8W；色温/波长 620-630nm；来源 https://www.cstmv.com/show/72.html"
"CST-RS4090-B","CST","Ring","Blue","475","Continuous","40","40","CST官网：CST-RS4090-B；功率 1.2W；色温/波长 465-475nm；来源 https://www.cstmv.com/show/70.html"
"CST-RS4090-G","CST","Ring","Green","530","Continuous","40","40","CST官网：CST-RS4090-G；功率 1.2W；色温/波长 520-530nm；来源 https://www.cstmv.com/show/71.html"
