"model","manufacturer","resolution_x","resolution_y","pixel_size_um","sensor_format","color_mode","shutter_type","max_fps","interface","bandwidth_mbps","bit_depth","dynamic_range_db","lens_mount"
"MER2-051-120GM","Daheng Imaging","808","608","4.8","1/3.6""","Mono","Global","120","GigE","120","10","39.96","C"
"MER2-134-90GC","Daheng Imaging","1280","1024","4.8","1/2""","Color","Global","90","GigE","120","10","40.09","C"
"MER2-134-90GM","Daheng Imaging","1280","1024","4.8","1/2""","Mono","Global","90","GigE","120","10","39.4","C"
"MER2-137-90GC","Daheng Imaging","1280","1024","4.8","1/2""","Color","Global","90","GigE","120","10","40.78","C"
"MER2-137-90GM","Daheng Imaging","1280","1024","4.8","1/2""","Mono","Global","90","GigE","120","10","40.68","C"
"MER2-160-75GC","Daheng Imaging","1440","1080","3.45","1/2.9""","Color","Global","75.6","GigE","120","12","40.75","C"
"MER2-160-75GM","Daheng Imaging","1440","1080","3.45","1/2.9""","Mono","Global","75.6","GigE","120","12","40.66","C"
"MER2-202-60GC","Daheng Imaging","1600","1200","4.5","1/1.8""","Color","Global","60","GigE","120","10","39.46","C"
"MER2-202-60GM","Daheng Imaging","1600","1200","4.5","1/1.8""","Mono","Global","60","GigE","120","10","38.41","C"
"MER2-231-41GC","Daheng Imaging","1920","1200","5.86","1/1.2""","Color","Global","41","GigE","120","12","45.22","C"
"MER2-231-41GM","Daheng Imaging","1920","1200","5.86","1/1.2""","Mono","Global","41","GigE","120","12","45.38","C"
"MER2-302-37GC","Daheng Imaging","2048","1536","3.45","1/1.8""","Color","Global","37.4","GigE","120","12","40.09","C"
"MER2-302-37GM","Daheng Imaging","2048","1536","3.45","1/1.8""","Mono","Global","37.4","GigE","120","12","40.76","C"
"MER2-303-37GC","Daheng Imaging","2048","1536","3.45","1/1.8""","Color","Global","37.4","GigE","120","12","40.51","C"
"MER2-303-37GM","Daheng Imaging","2048","1536","3.45","1/1.8""","Mono","Global","37.4","GigE","120","12","40.58","C"
"MER2-501-23GC","Daheng Imaging","2448","2048","3.45","2/3""","Color","Global","23.4","GigE","120","12","40.51","C"
"MER2-501-23GM","Daheng Imaging","2448","2048","3.45","2/3""","Mono","Global","23.4","GigE","120","12","40.58","C"
"MER2-503-23GC","Daheng Imaging","2448","2048","3.45","2/3""","Color","Global","23.5","GigE","120","12","40.59","C"
"MER2-503-23GM","Daheng Imaging","2448","2048","3.45","2/3""","Mono","Global","23.5","GigE","120","12","40.64","C"
"MER2-507-23GC","Daheng Imaging","2592","1944","2.2","1/2.5""","Color","Rolling","23.3","GigE","120","12","40.05","C"
"MER2-507-23GM","Daheng Imaging","2592","1944","2.2","1/2.5""","Mono","Rolling","23.3","GigE","120","12","39.97","C"
"MER2-532-22GC","Daheng Imaging","2592","2048","3.2","2/3""","Color","Global","22.17","GigE","120","12","39.76","C"
"MER2-532-22GM","Daheng Imaging","2592","2048","3.2","2/3""","Mono","Global","22.17","GigE","120","12","39.62","C"
"MER2-630-18GC","Daheng Imaging","3088","2064","2.4","1/1.8""","Color","Rolling","18.45","GigE","120","12","39.65","C"
"MER2-630-18GM","Daheng Imaging","3088","2064","2.4","1/1.8""","Mono","Rolling","18.45","GigE","120","12","39.97","C"
"MER2-630-18GC-W90-S90","Daheng Imaging","3088","2064","2.4","1/1.8""","Color","Rolling","18.45","GigE","120","12","39.65","C"
"MER2-041-302GC-P","Daheng Imaging","720","540","6.9","1/2.9""","Color","Global","302.3","GigE","120","12","42.99","C"
"MER2-041-302GM-P","Daheng Imaging","720","540","6.9","1/2.9""","Mono","Global","302.3","GigE","120","12","43.03","C"
"MER2-051-120GC-P","Daheng Imaging","808","608","4.8","1/3.6""","Color","Global","120","GigE","120","10","39.41","C"
"MER2-051-120GM-P","Daheng Imaging","808","608","4.8","1/3.6""","Mono","Global","120","GigE","120","10","39.96","C"
"MER2-134-90GC-P","Daheng Imaging","1280","1024","4.8","1/2""","Color","Global","90","GigE","120","10","40.9","C"
"MER2-134-90GM-P","Daheng Imaging","1280","1024","4.8","1/2""","Mono","Global","90","GigE","120","10","39.4","C"
"MER2-137-90GC-P","Daheng Imaging","1280","1024","4.8","1/2""","Color","Global","90","GigE","120","10","40.78","C"
"MER2-137-90GM-P","Daheng Imaging","1280","1024","4.8","1/2""","Mono","Global","90","GigE","120","10","40.68","C"
"MER2-160-75GC-P","Daheng Imaging","1440","1080","3.45","1/2.9""","Color","Global","75.6","GigE","120","12","40.76","C"
"MER2-160-75GM-P","Daheng Imaging","1440","1080","3.45","1/2.9""","Mono","Global","75.6","GigE","120","12","40.61","C"
"MER2-202-60GC-P","Daheng Imaging","1600","1200","4.5","1/1.8""","Color","Global","60","GigE","120","10","39.46","C"
"MER2-202-60GM-P","Daheng Imaging","1600","1200","4.5","1/1.8""","Mono","Global","60","GigE","120","10","39.38","C"
"MER2-231-41GC-P","Daheng Imaging","1920","1200","5.86","1/1.2""","Color","Global","41","GigE","120","12","44.8","C"
"MER2-231-41GM-P","Daheng Imaging","1920","1200","5.86","1/1.2""","Mono","Global","41","GigE","120","12","44.83","C"
"MER2-302-37GC-P","Daheng Imaging","2048","1536","3.45","1/1.8""","Color","Global","37.4","GigE","120","12","40.84","C"
"MER2-302-37GM-P","Daheng Imaging","2048","1536","3.45","1/1.8""","Mono","Global","37.4","GigE","120","12","40.86","C"
"MER2-303-37GC-P","Daheng Imaging","2048","1536","3.45","1/1.8""","Color","Global","35.9","GigE","120","12","40.61","C"
"MER2-303-37GM-P","Daheng Imaging","2048","1536","3.45","1/1.8""","Mono","Global","35.9","GigE","120","12","40.68","C"
"MER2-501-23GC-P","Daheng Imaging","2448","2048","3.45","2/3""","Color","Global","21.4","GigE","120","12","40.61","C"
"MER2-501-23GM-P","Daheng Imaging","2448","2048","3.45","2/3""","Mono","Global","21.4","GigE","120","12","40.68","C"
"MER2-503-23GC-P","Daheng Imaging","2448","2048","3.45","2/3""","Color","Global","23.5","GigE","120","12","40.69","C"
"MER2-503-23GM-P","Daheng Imaging","2448","2048","3.45","2/3""","Mono","Global","23.5","GigE","120","12","40.79","C"
"MER2-507-23GC-P","Daheng Imaging","2592","1944","2.2","1/2.5""","Color","Rolling","23.3","GigE","120","12","39.41","C"
"MER2-507-23GM-P","Daheng Imaging","2592","1944","2.2","1/2.5""","Mono","Rolling","23.3","GigE","120","12","39.96","C"
"MER2-630-18GC-P","Daheng Imaging","3088","2064","2.4","1/1.8""","Color","Rolling","18.45","GigE","120","12","39.67","C"
"MER2-630-18GM-P","Daheng Imaging","3088","2064","2.4","1/1.8""","Mono","Rolling","18.45","GigE","120","12","40.14","C"
"MER2-1070-10GM-P","Daheng Imaging","3840","2748","1.67","1/2.3""","Mono","Rolling","10","GigE","120","12","31","C"
"MER2-1220-9GC-P","Daheng Imaging","4024","3036","1.85","1/1.7""","Color","Rolling","9.63","GigE","120","12","39.86","C"
"MER2-060-642U3M","Daheng Imaging","1024","600","8.0","1/1.7""","Mono","Global","642.6","USB3","380","10","40.53","C"
"MER2-041-528U3M","Daheng Imaging","720","540","6.9","1/2.9""","Mono","Global","528.5","USB3","380","12","43.46","C"
"MER2-041-528U3C","Daheng Imaging","720","540","6.9","1/2.9""","Color","Global","528.5","USB3","380","12","44","C"
"MER2-041-608U3M-HS","Daheng Imaging","720","540","6.9","1/2.9""","Mono","Global","608","USB3","380","12","43.3","C"
"MER2-041-608U3C-HS","Daheng Imaging","720","540","6.9","1/2.9""","Color","Global","608","USB3","380","12","43.3","C"
"MER2-041-608U3M-HS-6P","Daheng Imaging","720","540","6.9","1/2.9""","Mono","Global","608","USB3","380","12","43.3","C"
"MER2-041-608U3C-HS-6P","Daheng Imaging","720","540","6.9","1/2.9""","Color","Global","608","USB3","380","12","43.3","C"
"MER2-135-208U3M","Daheng Imaging","1280","1024","4.0","1/2.7""","Mono","Global","208.5","USB3","380","10","39.19","C"
"MER2-135-208U3C","Daheng Imaging","1280","1024","4.0","1/2.7""","Color","Global","208.5","USB3","380","10","38.96","C"
"MER2-160-227U3M","Daheng Imaging","1440","1080","3.45","1/2.9""","Mono","Global","227","USB3","380","10","41","C"
"MER2-160-227U3C","Daheng Imaging","1440","1080","3.45","1/2.9""","Color","Global","227","USB3","380","10","41","C"
"MER2-160-249U3M-HS","Daheng Imaging","1440","1080","3.45","1/2.9""","Mono","Global","249.2","USB3","380","12","40.5","C"
"MER2-160-249U3C-HS","Daheng Imaging","1440","1080","3.45","1/2.9""","Color","Global","249.2","USB3","380","12","40.5","C"
"MER2-160-249U3M-HS-6P","Daheng Imaging","1440","1080","3.45","1/2.9""","Mono","Global","249.2","USB3","380","12","40.5","C"
"MER2-160-249U3C-HS-6P","Daheng Imaging","1440","1080","3.45","1/2.9""","Color","Global","249.2","USB3","380","12","40.5","C"
"MER2-230-168U3M","Daheng Imaging","1920","1200","5.86","1/1.2""","Mono","Global","168","USB3","380","10","45.32","C"
"MER2-230-168U3C","Daheng Imaging","1920","1200","5.86","1/1.2""","Color","Global","168","USB3","380","10","45.32","C"
"MER2-231-41U3M","Daheng Imaging","1920","1200","5.86","1/1.2""","Mono","Global","41","USB3","380","12","45.33","C"
"MER2-231-41U3C","Daheng Imaging","1920","1200","5.86","1/1.2""","Color","Global","41","USB3","380","12","45.33","C"
"MER2-231-41U3M-W90","Daheng Imaging","1920","1200","5.86","1/1.2""","Color","Global","41","USB3","380","12","45.33","C"
"MER2-231-41U3C-W90","Daheng Imaging","1920","1200","5.86","1/1.2""","Color","Global","41","USB3","380","12","45.33","C"
"MER2-240-159U3M","Daheng Imaging","2048","1200","4.0","1/1.7""","Mono","Global","159.4","USB3","380","12","39.98","C"
"MER2-240-159U3C","Daheng Imaging","2048","1200","4.0","1/1.7""","Color","Global","159.4","USB3","380","12","39.89","C"
"MER2-280-139U3M","Daheng Imaging","1936","1464","4.5","2/3""","Mono","Global","139.2","USB3","380","12","44","C"
"MER2-280-139U3C","Daheng Imaging","1936","1464","4.5","2/3""","Color","Global","139.2","USB3","380","12","43.9","C"
"MER2-301-125U3M","Daheng Imaging","2048","1536","3.45","1/1.8""","Mono","Global","125","USB3","380","10","40.55","C"
"MER2-301-125U3C","Daheng Imaging","2048","1536","3.45","1/1.8""","Color","Global","125","USB3","380","10","40.63","C"
"MER2-301-125U3M-HS","Daheng Imaging","2048","1536","3.45","1/1.8""","Mono","Global","125","USB3","380","12","40.73","C"
"MER2-301-125U3C-HS","Daheng Imaging","2048","1536","3.45","1/1.8""","Color","Global","125","USB3","380","12","40.76","C"
"MER2-302-56U3M","Daheng Imaging","2048","1536","3.45","1/1.8""","Mono","Global","56","USB3","380","10","40.76","C"
"MER2-060-642U3M-L","Daheng Imaging","1024","600","8.0","1/1.7""","Mono","Global","642.6","USB3","380","10","42.53","C"
"MER2-041-528U3M-L","Daheng Imaging","720","540","6.9","1/2.9""","Mono","Global","528.5","USB3","380","12","43.46","C"
"MER2-041-528U3C-L","Daheng Imaging","720","540","6.9","1/2.9""","Color","Global","528.5","USB3","380","12","44","C"
"MER2-041-608U3M-L-HS","Daheng Imaging","720","540","6.9","1/2.9""","Mono","Global","608","USB3","380","12","43.3","C"
"MER2-041-608U3C-L-HS","Daheng Imaging","720","540","6.9","1/2.9""","Color","Global","608","USB3","380","12","43.3","C"
"MER2-041-608U3M-L-HS-6P","Daheng Imaging","720","540","6.9","1/2.9""","Mono","Global","608","USB3","380","12","43.3","C"
"MER2-041-608U3C-L-HS-6P","Daheng Imaging","720","540","6.9","1/2.9""","Color","Global","608","USB3","380","12","43.3","C"
"MER2-135-208U3M-L","Daheng Imaging","1280","1024","4.0","1/2.7""","Mono","Global","208.5","USB3","380","10","39.19","C"
"MER2-135-208U3C-L","Daheng Imaging","1280","1024","4.0","1/2.7""","Color","Global","208.5","USB3","380","10","38.96","C"
"MER2-160-227U3M-L","Daheng Imaging","1440","1080","3.45","1/2.9""","Mono","Global","227","USB3","380","10","41","C"
"MER2-160-227U3C-L","Daheng Imaging","1440","1080","3.45","1/2.9""","Color","Global","227","USB3","380","10","41","C"
"MER2-160-249U3M-L-HS","Daheng Imaging","1440","1080","3.45","1/2.9""","Mono","Global","249.2","USB3","380","12","40.5","C"
"MER2-160-249U3C-L-HS","Daheng Imaging","1440","1080","3.45","1/2.9""","Color","Global","249.2","USB3","380","12","40.5","C"
"MER2-160-249U3M-L-HS-6P","Daheng Imaging","1440","1080","3.45","1/2.9""","Mono","Global","249.2","USB3","380","12","40.5","C"
"MER2-160-249U3C-L-HS-6P","Daheng Imaging","1440","1080","3.45","1/2.9""","Color","Global","249.2","USB3","380","12","40.5","C"
"MER2-230-168U3M-L","Daheng Imaging","1920","1200","5.86","1/1.2""","Mono","Global","168","USB3","380","10","45.32","C"
"MER2-230-168U3C-L","Daheng Imaging","1920","1200","5.86","1/1.2""","Color","Global","168","USB3","380","10","45.32","C"
"MER2-231-41U3M-L","Daheng Imaging","1920","1200","5.86","1/1.2""","Mono","Global","41","USB3","380","12","45.33","C"
"MER2-231-41U3C-L","Daheng Imaging","1920","1200","5.86","1/1.2""","Color","Global","41","USB3","380","12","45.33","C"
"MER2-240-159U3M-L","Daheng Imaging","2048","1200","4.0","1/1.7""","Mono","Global","159.4","USB3","380","12","39.98","C"
"MER2-240-159U3C-L","Daheng Imaging","2048","1200","4.0","1/1.7""","Color","Global","159.4","USB3","380","12","39.89","C"
"MER2-280-139U3M-L","Daheng Imaging","1936","1464","4.5","2/3""","Mono","Global","139.2","USB3","380","12","44","C"
"MER2-280-139U3C-L","Daheng Imaging","1936","1464","4.5","2/3""","Color","Global","139.2","USB3","380","12","43.9","C"
"MER2-301-125U3M-L","Daheng Imaging","2048","1536","3.45","1/1.8""","Mono","Global","125","USB3","380","10","40.55","C"
"MER2-301-125U3C-L","Daheng Imaging","2048","1536","3.45","1/1.8""","Color","Global","125","USB3","380","10","40.63","C"
"MER2-301-125U3M-L-HS","Daheng Imaging","2048","1536","3.45","1/1.8""","Mono","Global","125","USB3","380","12","40.73","C"
"MER2-301-125U3C-L-HS","Daheng Imaging","2048","1536","3.45","1/1.8""","Color","Global","125","USB3","380","12","40.63","C"
"MER2-302-56U3M-L","Daheng Imaging","2048","1536","3.45","1/1.8""","Mono","Global","56","USB3","380","10","40.76","C"
"MER2-302-56U3C-L","Daheng Imaging","2048","1536","3.45","1/1.8""","Color","Global","56","USB3","380","10","40.09","C"
"MER2-303-107U3M-L","Daheng Imaging","2048","1536","3.45","1/1.8""","Mono","Global","107.6","USB3","380","12","40.62","C"
"ME2C-042-121GM","Daheng Imaging","720","540","6.9","1/2.9""","Mono","Global","121.8","GigE","120","10","43.18","C"
"ME2C-161-75GM","Daheng Imaging","1440","1080","3.45","1/2.9""","Mono","Global","75.6","GigE","120","10","40.48","C"
"ME2C-2002-6GM","Daheng Imaging","5120","3840","1.4","1/1.8""","Mono","Rolling","5.98","GigE","120","10","38.48","C"
"ME2C-041-302GM(-P)","Daheng Imaging","720","540","6.9","1/2.9""","Mono","Global","302.3","GigE","120","12","43.1","C"
"ME2C-041-302GC(-P)","Daheng Imaging","720","540","6.9","1/2.9""","Color","Global","302.3","GigE","120","12","43","C"
"ME2C-042-121GC","Daheng Imaging","720","540","6.9","1/2.9""","Color","Global","121.8","GigE","120","10","43.13","C"
"ME2C-051-120GM(-P)","Daheng Imaging","808","608","4.8","1/3.6""","Mono","Global","120","GigE","120","10","39.96","C"
"ME2C-051-120GC(-P)","Daheng Imaging","808","608","4.8","1/3.6""","Color","Global","120","GigE","120","10","39.41","C"
"ME2C-137-90GM(-P)","Daheng Imaging","1280","1024","4.8","1/2""","Mono","Global","90","GigE","120","10","40.68","C"
"ME2C-137-90GC(-P)","Daheng Imaging","1280","1024","4.8","1/2""","Color","Global","90","GigE","120","10","40.78","C"
"ME2C-160-75GM(-P)","Daheng Imaging","1440","1080","3.45","1/2.9""","Mono","Global","75.6","GigE","120","12","40.66","C"
"ME2C-160-75GC(-P)","Daheng Imaging","1440","1080","3.45","1/2.9""","Color","Global","75.6","GigE","120","12","40.76","C"
"ME2C-161-75GC","Daheng Imaging","1440","1080","3.45","1/2.9""","Color","Global","75.6","GigE","120","10","40.5","C"
"ME2C-202-60GM(-P)","Daheng Imaging","1600","1200","4.5","1/1.8""","Mono","Global","60","GigE","120","10","39.38","C"
"ME2C-202-60GC(-P)","Daheng Imaging","1600","1200","4.5","1/1.8""","Color","Global","60","GigE","120","10","39.46","C"
"ME2C-231-41GM(-P)","Daheng Imaging","1920","1200","5.86","1/1.2""","Mono","Global","41","GigE","120","12","45.38","C"
"ME2C-231-41GC(-P)","Daheng Imaging","1920","1200","5.86","1/1.2""","Color","Global","41","GigE","120","12","45.22","C"
"ME2C-240-48GM(-P)","Daheng Imaging","2048","1200","4","1/1.7""","Mono","Global","47.87","GigE","120","12","38.9","C"
"ME2C-240-48GC(-P)","Daheng Imaging","2048","1200","4","1/1.7""","Color","Global","47.87","GigE","120","12","38.96","C"
"ME2C-302-37GM(-P)","Daheng Imaging","2048","1536","3.45","1/1.8""","Mono","Global","37.4","GigE","120","12","40.86","C"
"ME2C-302-37GC(-P)","Daheng Imaging","2048","1536","3.45","1/1.8""","Color","Global","37.4","GigE","120","12","40.84","C"
"ME2C-303-37GM(-P)","Daheng Imaging","2048","1536","3.45","1/1.8""","Mono","Global","37.4","GigE","120","12","40.86","C"
"ME2C-303-37GC(-P)","Daheng Imaging","2048","1536","3.45","1/1.8""","Color","Global","37.4","GigE","120","12","40.84","C"
"ME2C-501-23GM(-P)","Daheng Imaging","2448","2048","3.45","2/3""","Mono","Global","22.23","GigE","120","12","40.32","C"
"ME2C-501-23GC(-P)","Daheng Imaging","2448","2048","3.45","2/3""","Color","Global","22.23","GigE","120","12","40.55","C"
"ME2C-503-23GM(-P)","Daheng Imaging","2448","2048","3.45","2/3""","Mono","Global","23.5","GigE","120","12","40.79","C"
"ME2C-503-23GC(-P)","Daheng Imaging","2448","2048","3.45","2/3""","Color","Global","23.5","GigE","120","12","40.69","C"
"ME2C-507-23GM(-P)","Daheng Imaging","2592","1944","2.2","1/2.5""","Mono","Rolling","23.3","GigE","120","12","39.96","C"
"ME2C-507-23GC(-P)","Daheng Imaging","2592","1944","2.2","1/2.5""","Color","Rolling","23.3","GigE","120","12","40.05","C"
"ME2C-507-23GM(-P)-NIR","Daheng Imaging","2592","1944","2.2","1/2.5""","Mono","Rolling","23.3","GigE","120","12","40.2","C"
"ME2S-1260-9GM-P","Daheng Imaging","4096","3072","3.2","1""","Mono","Global","9.35","GigE","120","12","39.83","C"
"ME2S-1260-9GC-P","Daheng Imaging","4096","3072","3.2","1""","Color","Global","9.35","GigE","120","12","40.09","C"
"ME2S-2560-15U3M","Daheng Imaging","5064","5064","2.5","1.1""","Mono","Global","15.4","USB3","380","12","41.03","C"
"ME2S-560-70U3C","Daheng Imaging","2600","2160","2.5","1/2""","Color","Global","70.3","USB3","380","12","37.34","C"
"ME2S-560-70U3M","Daheng Imaging","2600","2160","2.5","1/2""","Mono","Global","70.3","USB3","380","12","37.21","C"
"ME2S-1260-28U3C","Daheng Imaging","4096","3072","3.2","1""","Color","Global","28","USB3","380","12","39.94","C"
"ME2S-1260-28U3M","Daheng Imaging","4096","3072","3.2","1""","Mono","Global","28","USB3","380","12","39.78","C"
"ME2S-1610-24U3C","Daheng Imaging","5320","3032","2.74","1.1""","Color","Global","24.4","USB3","380","12","40.7","C"
"ME2S-1610-24U3M","Daheng Imaging","5320","3032","2.74","1.1""","Mono","Global","24.4","USB3","380","12","42.1","C"
"ME2S-2020-19U3C","Daheng Imaging","4504","4504","2.74","1.1""","Color","Global","19.4","USB3","380","12","40.6","C"
"ME2S-2020-19U3M","Daheng Imaging","4504","4504","2.74","1.1""","Mono","Global","19.4","USB3","380","12","42.1","C"
"ME2S-2440-16U3C","Daheng Imaging","5328","4608","2.74","1.2""","Color","Global","16.1","USB3","380","12","41.2","C"
"ME2S-2440-16U3M","Daheng Imaging","5328","4608","2.74","1.2""","Mono","Global","16.1","USB3","380","12","42.3","C"
"ME2P-171-66GC-P","Daheng Imaging","1608","1104","9","1.1""","Color","Global","60.3","GigE","120","12","48.54","C"
"ME2P-171-66GM-P","Daheng Imaging","1608","1104","9","1.1""","Mono","Global","60.3","GigE","120","12","48.97","C"
"ME2P-560-21GC-P","Daheng Imaging","2600","2160","2.5","1/2""","Color","Global","19.1","GigE","120","12","37.36","C"
"ME2P-560-21GM-P","Daheng Imaging","2600","2160","2.5","1/2""","Mono","Global","19.1","GigE","120","12","37.19","C"
"ME2P-900-13GC-P","Daheng Imaging","4200","2160","2.5","2/3""","Color","Global","11.8","GigE","120","12","37.15","C"
"ME2P-900-13GM-P","Daheng Imaging","4200","2160","2.5","2/3""","Mono","Global","13","GigE","120","12","36.94","C"
"ME2P-1230-9GC-P","Daheng Imaging","4096","3000","3.45","1.1""","Color","Global","8.7","GigE","120","12","40.48","C"
"ME2P-1230-9GM-P","Daheng Imaging","4096","3000","3.45","1.1""","Mono","Global","8.7","GigE","120","12","40.66","C"
"ME2P-1840-6GC-P","Daheng Imaging","4508","4096","2.5","1""","Color","Global","5.8","GigE","120","12","38.5","C"
"ME2P-1840-6GM-P","Daheng Imaging","4508","4096","2.5","1""","Mono","Global","5.8","GigE","120","12","38.28","C"
"ME2P-2621-4GC-P","Daheng Imaging","5120","5120","2.5","1.1""","Color","Global","4.1","GigE","120","12","35.65","C"
"ME2P-2621-4GM-P","Daheng Imaging","5120","5120","2.5","1.1""","Mono","Global","4.1","GigE","120","12","35.93","C"
"ME2P-2622-4GC-P","Daheng Imaging","5120","5120","2.5","1.1""","Color","Global","4.1","GigE","120","12","35.65","C"
"ME2P-2622-4GM-P","Daheng Imaging","5120","5120","2.5","1.1""","Mono","Global","4.1","GigE","120","12","35.93","C"
"ME2P-900-13GC-P-HF8","Daheng Imaging","4200","2160","2.5","2/3""","Color","Global","11.8","GigE","120","12","37.15","C"
"ME2P-900-13GM-P-HF8","Daheng Imaging","4200","2160","2.5","2/3""","Mono","Global","11.8","GigE","120","12","36.94","C"
"ME2P-900-13GC-P-VF8","Daheng Imaging","4200","2160","2.5","2/3""","Color","Global","11.8","GigE","120","12","37.15","C"
"ME2P-900-13GM-P-VF8","Daheng Imaging","4200","2160","2.5","2/3""","Mono","Global","11.8","GigE","120","12","36.94","C"
"ME2P-1230-9GC-P-HF8","Daheng Imaging","4096","3000","3.45","1.1""","Color","Global","8.7","GigE","120","12","40.48","C"
"ME2P-1230-9GM-P-HF8","Daheng Imaging","4096","3000","3.45","1.1""","Mono","Global","8.7","GigE","120","12","40.66","C"
"ME2P-1230-9GC-P-VF8","Daheng Imaging","4096","3000","3.45","1.1""","Color","Global","8.7","GigE","120","12","40.48","C"
"ME2P-1230-9GM-P-VF8","Daheng Imaging","4096","3000","3.45","1.1""","Mono","Global","8.7","GigE","120","12","40.66","C"
"ME2P-1840-6GC-P-HF8","Daheng Imaging","4508","4096","2.5","1""","Color","Global","5.8","GigE","120","12","38.5","C"
"ME2P-1840-6GM-P-HF8","Daheng Imaging","4508","4096","2.5","1""","Mono","Global","5.8","GigE","120","12","38.28","C"
"ME2P-1840-6GC-P-VF8","Daheng Imaging","4508","4096","2.5","1""","Color","Global","5.8","GigE","120","12","38.5","C"
"ME2P-1840-6GM-P-VF8","Daheng Imaging","4508","4096","2.5","1""","Mono","Global","5.8","GigE","120","12","38.28","C"
"ME2P-2621-4GC-P-HF8","Daheng Imaging","5120","5120","2.5","1.1""","Color","Global","4.1","GigE","120","12","35.65","C"
"ME2P-2621-4GM-P-HF8","Daheng Imaging","5120","5120","2.5","1.1""","Mono","Global","4.1","GigE","120","12","35.93","C"
"ME2P-170-210U3C","Daheng Imaging","1608","1104","9","1.1""","Color","Global","210.8","USB3","380","12","49.9","C"
"ME2P-170-210U3M","Daheng Imaging","1608","1104","9","1.1""","Mono","Global","210.8","USB3","380","12","50","C"
"ME2P-530-72U3C","Daheng Imaging","2592","2048","4.8","1""","Color","Global","72.4","USB3","380","10","40.2","C"
"ME2P-883-42U3C","Daheng Imaging","4096","2160","3.45","1""","Color","Global","42","USB3","380","12","40.27","C"
"ME2P-883-42U3M","Daheng Imaging","4096","2160","3.45","1""","Mono","Global","42","USB3","380","12","40.38","C"
"ME2P-900-43U3C","Daheng Imaging","4200","2160","2.5","2/3""","Color","Global","43.5","USB3","380","12","37.15","C"
"ME2P-900-43U3M","Daheng Imaging","4200","2160","2.5","2/3""","Mono","Global","43.5","USB3","380","12","36.94","C"
"ME2P-1230-23U3C","Daheng Imaging","4096","3000","3.45","1.1""","Color","Global","23.5","USB3","380","12","40.59","C"
"ME2P-1230-23U3M","Daheng Imaging","4096","3000","3.45","1.1""","Mono","Global","23.5","USB3","380","12","40.47","C"
"ME2P-1230-30U3C-HS","Daheng Imaging","4096","3000","3.45","1.1""","Color","Global","30.5","USB3","380","12","40.59","C"
"ME2P-1230-30U3M-HS","Daheng Imaging","4096","3000","3.45","1.1""","Mono","Global","30.5","USB3","380","12","40.47","C"
"ME2P-1231-32U3C","Daheng Imaging","4096","3000","3.45","1.1""","Color","Global","32.1","USB3","380","12","40.79","C"
"ME2P-1231-32U3M","Daheng Imaging","4096","3000","3.45","1.1""","Mono","Global","32.1","USB3","380","12","40.63","C"
"ME2P-1840-21U3C","Daheng Imaging","4504","4096","2.5","1""","Color","Global","21.4","USB3","380","12","38.5","C"
"ME2P-1840-21U3M","Daheng Imaging","4504","4096","2.5","1""","Mono","Global","21.4","USB3","380","12","38.28","C"
"ME2P-1843-21U3M","Daheng Imaging","4504","4096","2.5","1""","Mono","Global","21.4","USB3","380","12","38.28","C"
"ME2P-1844-21U3M","Daheng Imaging","4504","4096","2.5","1""","Mono","Global","21.4","USB3","380","12","38.28","C"
"ME2P-2621-15U3C","Daheng Imaging","5120","5120","2.5","1.1""","Color","Global","15.1","USB3","380","12","36.18","C"
"ME2P-2621-15U3M","Daheng Imaging","5120","5120","2.5","1.1""","Mono","Global","15.1","USB3","380","12","36.15","C"
"ME2P-2622-15U3C","Daheng Imaging","5120","5120","2.5","1.1""","Color","Global","15.1","USB3","380","12","36.18","C"
"ME2P-2622-15U3M","Daheng Imaging","5120","5120","2.5","1.1""","Mono","Global","15.1","USB3","380","12","36.15","C"
"ME2P-900-43U3C-VF8","Daheng Imaging","4200","2160","2.5","2/3""","Color","Global","43.5","USB3","380","12","37.15","C"
"ME2P-900-43U3M-VF8","Daheng Imaging","4200","2160","2.5","2/3""","Mono","Global","43.5","USB3","380","12","36.94","C"
"ME2P-900-43U3C-HF8","Daheng Imaging","4200","2160","2.5","2/3""","Color","Global","43.5","USB3","380","12","37.15","C"
"ME2P-900-43U3M-HF8","Daheng Imaging","4200","2160","2.5","2/3""","Mono","Global","43.5","USB3","380","12","36.94","C"
"ME2P-1230-23U3C-VF8","Daheng Imaging","4096","3000","3.45","1.1""","Color","Global","23.5","USB3","380","12","40.59","C"
"ME2L-042-121U3M","Daheng Imaging","720","540","6.9","1/2.9""","Mono","Global","121.8","USB3","380","10","43.57","C"
"ME2L-042-121U3C","Daheng Imaging","720","540","6.9","1/2.9""","Color","Global","121.8","USB3","380","10","43.55","C"
"ME2L-161-61U3C","Daheng Imaging","1440","1080","3.45","1/2.9""","Color","Global","61.2","USB3","380","10","40.23","C"
"ME2L-161-61U3M","Daheng Imaging","1440","1080","3.45","1/2.9""","Mono","Global","61.2","USB3","380","10","40.6","C"
"ME2L-203-76U3C","Daheng Imaging","1920","1080","2.9","1/2.8""","Color","Rolling","76","USB3","380","10","41.53","C"
"ME2L-203-76U3M","Daheng Imaging","1920","1080","2.9","1/2.8""","Mono","Rolling","76","USB3","380","10","41.26","C"
