"model","manufacturer","lens_type","lens_mount","focal_length_mm","min_wd_mm","distortion_percent","image_circle_mm","megapixel_rating","recommended_min_pixel_um","pmag","nominal_wd_mm","wd_tolerance_mm","max_sensor_diagonal_mm","telecentricity_deg","dof_mm","numerical_aperture","f_number","coaxial_illumination","notes"
"TC23016","Opto Engineering","BiTelecentric","C","0","0","0.07","11","5","3.45","0.528","43.1","1.3","11","0.10","1.5","0","8","false","Opto TC23016; 2/3 sensor; FOV 16.10x13.43mm; object resolution 10um"
"TC23024","Opto Engineering","BiTelecentric","C","0","0","0.10","11","5","3.45","0.350","67.2","2.0","11","0.10","3.4","0","8","false","Opto TC23024; 2/3 sensor; FOV 24.29x20.26mm; object resolution 15um"
"TC23036","Opto Engineering","BiTelecentric","C","0","0","0.10","11","5","3.45","0.243","102.6","3.1","11","0.08","7.00","0","8","false","Opto TC23036; 2/3 sensor; FOV 34.98x29.18mm; object resolution 21um"
"TC23048","Opto Engineering","BiTelecentric","C","0","0","0.10","11","5","3.45","0.184","132.9","4.0","11","0.10","12.20","0","8","false","Opto TC23048; 2/3 sensor; FOV 46.20x38.53mm; object resolution 28um"
"TC23064","Opto Engineering","BiTelecentric","C","0","0","0.07","11","5","3.45","0.138","181.9","5.5","11","0.08","21.70","0","8","false","Opto TC23064; 2/3 sensor; FOV 61.59x51.38mm; object resolution 37um"
"TC23080","Opto Engineering","BiTelecentric","C","0","0","0.10","11","5","3.45","0.110","226.8","6.8","11","0.08","34.20","0","8","false","Opto TC23080; 2/3 sensor; FOV 77.27x64.45mm; object resolution 46um"
"TC23096","Opto Engineering","BiTelecentric","C","0","0","0.08","11","5","3.45","0.093","278.6","8.4","11","0.08","47.90","0","8","false","Opto TC23096; 2/3 sensor; FOV 91.40x76.24mm; object resolution 55um"
"TC23120","Opto Engineering","BiTelecentric","C","0","0","0.10","11","5","3.45","0.072","334.6","10.0","11","0.08","79.90","0","8","false","Opto TC23120; 2/3 sensor; FOV 118.06x98.47mm; object resolution 70um"
"TC23144","Opto Engineering","BiTelecentric","C","0","0","0.08","11","5","3.45","0.061","396.0","11.9","11","0.08","111.30","0","8","false","Opto TC23144; 2/3 sensor; FOV 139.34x116.23mm; object resolution 83um"
"TCCP23260","Opto Engineering","BiTelecentric","C","0","0","0.90","11","5","3.45","0.036","366.0","18.3","11","0.22","319.40","0","8","false","Opto TCCP23260 CORE PLUS; ultra compact large FOV; 2/3 sensor; FOV 236.11x196.94mm; residual distortion after calibration <0.01%"
"TCCR23064","Opto Engineering","BiTelecentric","C","0","0","0.10","11.5","5","3.45","0.138","181.9","5.5","11","0.08","21.7","0","8","false","Opto TCCR23064 CORE; compact large FOV; 2/3 sensor; object resolution 37um"
"TCLWD020-275-23","Opto Engineering","ObjectTelecentric","C","0","0","0.15","11","5","3.45","0.200","276","8.3","11","0.25","10.4","0","8","false","Opto TCLWD020-275-23; long WD 276mm; 2/3 sensor; object resolution 25um"
"TCLWD055-110-3M","Opto Engineering","ObjectTelecentric","C","0","0","0.15","17.6","12","3.45","0.550","110","3.3","17.6","0.25","1.7","0","10","false","Opto TCLWD055-110-3M; 1.1 sensor; object resolution 12um"
"TCLWD075","Opto Engineering","ObjectTelecentric","C","0","0","0.20","11","5","3.45","0.750","132.6","4.0","11","0.06","1.1","0","12","false","Opto TCLWD075; long WD 132.6mm; 2/3 sensor; object resolution 10um"
"TCLWD100","Opto Engineering","ObjectTelecentric","C","0","0","0.10","11","5","3.45","1.000","132.3","4.0","11","0.06","0.6","0","12","false","Opto TCLWD100; long WD 132.3mm; 2/3 sensor; object resolution 8um"
"TFCS-20108CTV3","COOLENS","ObjectTelecentric","C","0","0","0.04","11","5","3.45","2","108","0","11","0.05","0.2","0","10.5","true","COOLENS DTCA high-performance industrial lens official list; FOV mm"
"WWH03-110CT","COOLENS","ObjectTelecentric","","0","0","0.1","9","0","0","0.3","110","2","9","0.1","8","0","9","false","COOLENS WWH 5MP telecentric official product list"
"WWH05-110AT","COOLENS","ObjectTelecentric","","0","0","0.1","11","0","0","0.5","110","2","11","0.1","3.1","0","9.6","false","COOLENS WWH 5MP telecentric official product list"
"WWH05-110AT-G","COOLENS","ObjectTelecentric","","0","0","0.1","11","0","0","0.5","110","2","11","0.1","2","0","9.6","false","COOLENS WWH 5MP telecentric official product list"
"WWH05-110ATV3-23","COOLENS","ObjectTelecentric","","0","0","0","11","0","0","0.5","110","2","11","0","0","0","9.6","false","COOLENS WWH 5MP telecentric official product list"
"WWH05-110CT","COOLENS","ObjectTelecentric","","0","0","0.1","11","0","0","0.5","110","2","11","0.1","3.1","0","9.6","false","COOLENS WWH 5MP telecentric official product list"
"WWH05-110CT-G","COOLENS","ObjectTelecentric","","0","0","0.1","11","0","0","0.5","110","2","11","0.1","3.1","0","9.6","false","COOLENS WWH 5MP telecentric official product list"
"WWH05-110CTV3-23","COOLENS","ObjectTelecentric","","0","0","0","11","0","0","0.5","110","2","11","0","0","0","9.6","false","COOLENS WWH 5MP telecentric official product list"
"WWH05-510AT","COOLENS","ObjectTelecentric","","0","0","0.1","9","0","0","0.5","510","3","9","0.1","4.5","0","14.2","false","COOLENS WWH 5MP telecentric official product list"
"WWH05-510CT","COOLENS","ObjectTelecentric","","0","0","0.1","9","0","0","0.5","510","3","9","0.1","4.5","0","14.2","false","COOLENS WWH 5MP telecentric official product list"
"WWH06-150AT","COOLENS","ObjectTelecentric","","0","0","0.3","11","0","0","0.6","150","0","11","0.5","2.7","0","12","false","COOLENS WWH 5MP telecentric official product list"
"WWH06-150AT-23","COOLENS","ObjectTelecentric","","0","0","0.3","11","0","0","0.6","150","0","11","0.5","2.7","0","12","false","COOLENS WWH 5MP telecentric official product list"
"WWH06-150CT-23","COOLENS","ObjectTelecentric","","0","0","0.3","11","0","0","0.6","150","0","11","0","0","0","12","false","COOLENS WWH 5MP telecentric official product list"
