"model","manufacturer","lens_type","lens_mount","focal_length_mm","min_wd_mm","distortion_percent","image_circle_mm","megapixel_rating","recommended_min_pixel_um","pmag","nominal_wd_mm","wd_tolerance_mm","max_sensor_diagonal_mm","telecentricity_deg","dof_mm","numerical_aperture","f_number","coaxial_illumination","notes"
"WWH30-63CTV3","COOLENS","ObjectTelecentric","","0","0","0.02","11","0","0","3","63","1","11","0.04","0.1","0","11.9","false","COOLENS WWH 5MP telecentric official product list"
"WWH30-65AT","COOLENS","ObjectTelecentric","","0","0","0.1","11","0","0","3","65","1","11","0.1","0.2","0","20.2","false","COOLENS WWH 5MP telecentric official product list"
"WWH30-65ATV2","COOLENS","ObjectTelecentric","","0","0","0.1","11","0","0","3","65","1","11","0.02","0.1","0","15.7","false","COOLENS WWH 5MP telecentric official product list"
"WWH30-65CT","COOLENS","ObjectTelecentric","","0","0","0.1","11","0","0","3","65","1","11","0.1","0.2","0","20.2","false","COOLENS WWH 5MP telecentric official product list"
"WWH30-65CTV2","COOLENS","ObjectTelecentric","","0","0","0.1","11","0","0","3","65","1","11","0.02","0.1","0","15.7","false","COOLENS WWH 5MP telecentric official product list"
"WWH35-63ATV3","COOLENS","ObjectTelecentric","","0","0","0.02","11","0","0","3.5","63","1","11","0.04","0.09","0","11.9","false","COOLENS WWH 5MP telecentric official product list"
"WWH40-108ATV3","COOLENS","ObjectTelecentric","","0","0","0.03","11","0","0","4","108","0","11","0.03","0.1","0","20","false","COOLENS WWH 5MP telecentric official product list"
"WWH40-108CTLV3","COOLENS","ObjectTelecentric","","0","0","0.03","11","0","0","4","108","0","11","0.03","0.1","0","19.4","false","COOLENS WWH 5MP telecentric official product list"
"WWH40-108CTV3","COOLENS","ObjectTelecentric","","0","0","0.03","11","0","0","4","108","0","11","0.03","0.1","0","19.4","false","COOLENS WWH 5MP telecentric official product list"
"WWH40-63ATV3","COOLENS","ObjectTelecentric","","0","0","0.01","11","0","0","4","63","1","11","0.03","0.1","0","15.8","false","COOLENS WWH 5MP telecentric official product list"
"WWH40-63CTLV3","COOLENS","ObjectTelecentric","","0","0","0.01","11","0","0","4","63","1","11","0.03","0.1","0","15.8","false","COOLENS WWH 5MP telecentric official product list"
"WWH40-63CTV3","COOLENS","ObjectTelecentric","","0","0","0.01","11","0","0","4","63","1","11","0.03","0.1","0","15.8","false","COOLENS WWH 5MP telecentric official product list"
"WWH40-63CTV4-IR1075-G","COOLENS","ObjectTelecentric","","0","0","0.02","11","0","0","4","63","1","11","0.06","0.07","0","13.2","false","COOLENS WWH 5MP telecentric official product list"
"WWH40-63CTV4-IR1300","COOLENS","ObjectTelecentric","","0","0","0.02","11","0","0","4","63","1","11","0.06","0.07","0","13.1","false","COOLENS WWH 5MP telecentric official product list"
"WWH40-65AT","COOLENS","ObjectTelecentric","","0","0","0.1","11","0","0","4","65","1","11","0.1","0.1","0","17.9","false","COOLENS WWH 5MP telecentric official product list"
"WWH40-65CT","COOLENS","ObjectTelecentric","","0","0","0.1","11","0","0","4","65","1","11","0.1","0.1","0","17.9","false","COOLENS WWH 5MP telecentric official product list"
"WWH50-108ATV3","COOLENS","ObjectTelecentric","","0","0","0.02","11","0","0","5","108","0","11","0.02","0.1","0","22.4","false","COOLENS WWH 5MP telecentric official product list"
"WWH60-108ATV3","COOLENS","ObjectTelecentric","","0","0","0.01","11","0","0","6","108","0","11","0.02","0.06","0","28.7","false","COOLENS WWH 5MP telecentric official product list"
"WWH60-108CTLV3","COOLENS","ObjectTelecentric","","0","0","0.01","11","0","0","6","108","0","11","0.02","0.06","0","28.7","false","COOLENS WWH 5MP telecentric official product list"
"WWH60-108CTV3","COOLENS","ObjectTelecentric","","0","0","0.01","11","0","0","6","108","0","11","0.02","0.06","0","28.7","false","COOLENS WWH 5MP telecentric official product list"
"WWH60-110AT","COOLENS","ObjectTelecentric","","0","0","0.1","11","0","0","6","110","2","11","0.1","0.1","0","38.9","false","COOLENS WWH 5MP telecentric official product list"
"WWH60-110CT","COOLENS","ObjectTelecentric","","0","0","0.1","11","0","0","6","110","2","11","0.1","0.1","0","38.9","false","COOLENS WWH 5MP telecentric official product list"
"WWH60-63ATV3","COOLENS","ObjectTelecentric","","0","0","0.03","11","0","0","6","63","1","11","0.03","0.1","0","23.8","false","COOLENS WWH 5MP telecentric official product list"
"WWH60-63CTLV3","COOLENS","ObjectTelecentric","","0","0","0.03","11","0","0","6","63","1","11","0.03","0.1","0","23.8","false","COOLENS WWH 5MP telecentric official product list"
"WWH60-63CTV3","COOLENS","ObjectTelecentric","","0","0","0.03","11","0","0","6","63","1","11","0.03","0.1","0","23.8","false","COOLENS WWH 5MP telecentric official product list"
"WWH60-63CTV4-IR1075-G","COOLENS","ObjectTelecentric","","0","0","0.08","11","0","0","6","63","1","11","0.06","0.04","0","20","false","COOLENS WWH 5MP telecentric official product list"
"WWH60-63CTV4-IR1170","COOLENS","ObjectTelecentric","","0","0","0.08","11","0","0","6","63","1","11","0.06","0.04","0","20","false","COOLENS WWH 5MP telecentric official product list"
"WWH60-63CTV4-IR1300","COOLENS","ObjectTelecentric","","0","0","0.08","11","0","0","6","63","1","11","0.06","0.04","0","20","false","COOLENS WWH 5MP telecentric official product list"
"WWH60-65AT","COOLENS","ObjectTelecentric","","0","0","0.1","11","0","0","6","65","1","11","0.1","0.1","0","24.6","false","COOLENS WWH 5MP telecentric official product list"
"WWH60-65CT","COOLENS","ObjectTelecentric","","0","0","0.1","11","0","0","6","65","1","11","0.1","0.1","0","24.6","false","COOLENS WWH 5MP telecentric official product list"
"WWH80-108ATV3","COOLENS","ObjectTelecentric","","0","0","0.01","11","0","0","8","108","0","11","0.02","0.05","0","38.3","false","COOLENS WWH 5MP telecentric official product list"
"WWH80-108CTLV3","COOLENS","ObjectTelecentric","","0","0","0.01","11","0","0","8","108","0","11","0.02","0.05","0","38.3","false","COOLENS WWH 5MP telecentric official product list"
"WWH80-108CTV3","COOLENS","ObjectTelecentric","","0","0","0.01","11","0","0","8","108","0","11","0.02","0.05","0","38.3","false","COOLENS WWH 5MP telecentric official product list"
"WWH80-63ATV3","COOLENS","ObjectTelecentric","","0","0","0.01","11","0","0","8","63","1","11","0.02","0.04","0","31.3","false","COOLENS WWH 5MP telecentric official product list"
"WWH80-63CTLV3","COOLENS","ObjectTelecentric","","0","0","0.01","11","0","0","8","63","1","11","0.02","0.04","0","31.3","false","COOLENS WWH 5MP telecentric official product list"
"WWH80-63CTV3","COOLENS","ObjectTelecentric","","0","0","0.01","11","0","0","8","63","1","11","0.02","0.04","0","31.3","false","COOLENS WWH 5MP telecentric official product list"
"WWH80-63CTV4-IR1300","COOLENS","ObjectTelecentric","","0","0","0.07","11","0","0","8","63","1","11","0.05","0.03","0","27.3","false","COOLENS WWH 5MP telecentric official product list"
"WWK012-330-120-AL","COOLENS","ObjectTelecentric","","0","0","0.05","8","0","0","0.12","330","3","8","0.1","19.4","0","7","false","COOLENS WWK large-format telecentric official product list"
"WWK015-320-120-AL","COOLENS","ObjectTelecentric","","0","0","0.05","8","0","0","0.15","320","3","8","0.1","12.4","0","7","false","COOLENS WWK large-format telecentric official product list"
"WWK022-220-111","COOLENS","ObjectTelecentric","","0","0","0.1","18","0","0","0.22","220","3","18","0.15","6.6","0","8","false","COOLENS WWK large-format telecentric official product list"
"WWK022-220-230-ALV2","COOLENS","ObjectTelecentric","","0","0","0.05","11","0","0","0.22","220","2","11","0.05","5.7","0","6.9","false","COOLENS WWK large-format telecentric official product list"
"WWK023-220-111","COOLENS","ObjectTelecentric","","0","0","0.1","18","0","0","0.23","220","3","18","0.18","6","0","8","false","COOLENS WWK large-format telecentric official product list"
"WWK023-60-118","COOLENS","ObjectTelecentric","","0","0","0.1","9","0","0","0.231","61","1","9","0","5.1","0","6.9","false","COOLENS WWK large-format telecentric official product list"
"WWK0246-220-111","COOLENS","ObjectTelecentric","","0","0","0.1","18","0","0","0.246","220","3","18","0.13","5.3","0","8","false","COOLENS WWK large-format telecentric official product list"
"WWK0275-220-110","COOLENS","ObjectTelecentric","","0","0","0.1","16","0","0","0.275","220","3","16","0.15","4.2","0","8","false","COOLENS WWK large-format telecentric official product list"
"WWK0275-220-111","COOLENS","ObjectTelecentric","","0","0","0.1","18","0","0","0.275","220","3","18","0.15","4.2","0","8","false","COOLENS WWK large-format telecentric official product list"
"WWK03-110-230","COOLENS","ObjectTelecentric","","0","0","0.02","11","0","0","0.3","110","2","11","0.04","2.5","0","6","false","COOLENS WWK large-format telecentric official product list"
"WWK03-110C-230","COOLENS","ObjectTelecentric","","0","0","0.02","11","0","0","0.3","110","2","11","0.04","2.5","0","6","false","COOLENS WWK large-format telecentric official product list"
"WWK03-250-110","COOLENS","ObjectTelecentric","","0","0","0.2","16","0","0","0.3","250","2","16","0.2","3.5","0","8","false","COOLENS WWK large-format telecentric official product list"
"WWK032-220-110","COOLENS","ObjectTelecentric","","0","0","0.15","16","0","0","0.32","220","3","16","0.07","4.7","0","12.1","false","COOLENS WWK large-format telecentric official product list"
"WWK0345-220-111","COOLENS","ObjectTelecentric","","0","0","0.1","18","0","0","0.345","220","3","18","0.1","2.7","0","8","false","COOLENS WWK large-format telecentric official product list"
"WWK0367-220-110","COOLENS","ObjectTelecentric","","0","0","0.1","16","0","0","0.367","220","3","16","0.1","2.4","0","8","false","COOLENS WWK large-format telecentric official product list"
"WWK0367-220-111","COOLENS","ObjectTelecentric","","0","0","0.1","18","0","0","0.367","220","3","18","0.1","2.4","0","8","false","COOLENS WWK large-format telecentric official product list"
"WWK04-110-230","COOLENS","ObjectTelecentric","","0","0","0.02","11","0","0","0.4","110","2","11","0.03","1.8","0","7","false","COOLENS WWK large-format telecentric official product list"
"WWK04-110C-230","COOLENS","ObjectTelecentric","","0","0","0.02","11","0","0","0.4","110","2","11","0.03","1.8","0","7","false","COOLENS WWK large-format telecentric official product list"
"WWK046-220-110","COOLENS","ObjectTelecentric","","0","0","0.25","16","0","0","0.46","220","3","16","0.1","2.2","0","11.6","false","COOLENS WWK large-format telecentric official product list"
"WWK046-220C-110","COOLENS","ObjectTelecentric","","0","0","0.25","16","0","0","0.46","220","3","16","0.1","4.4","0","11.6","false","COOLENS WWK large-format telecentric official product list"
"WWK05-110-111V3","COOLENS","ObjectTelecentric","","0","0","0.1","18","0","0","0.5","110","2","18","0.08","1.1","0","7","false","COOLENS WWK large-format telecentric official product list"
"WWK05-110-111V3-25M","COOLENS","ObjectTelecentric","","0","0","0.1","18","0","0","0.5","110","2","18","0.08","1.1","0","7","false","COOLENS WWK large-format telecentric official product list"
"WWK05-110-230","COOLENS","ObjectTelecentric","","0","0","0.03","11","0","0","0.5","110","2","11","0.03","1.1","0","7","false","COOLENS WWK large-format telecentric official product list"
"WWK05-110C-111V3","COOLENS","ObjectTelecentric","","0","0","0.1","18","0","0","0.5","110","2","18","0.08","1.1","0","7","false","COOLENS WWK large-format telecentric official product list"
"WWK05-110C-111V3-25M","COOLENS","ObjectTelecentric","","0","0","0.1","18","0","0","0.5","110","2","18","0.08","1.1","0","7","false","COOLENS WWK large-format telecentric official product list"
"WWK05-110C-230","COOLENS","ObjectTelecentric","","0","0","0.03","11","0","0","0.5","110","2","11","0.03","1.1","0","7","false","COOLENS WWK large-format telecentric official product list"
"WWK05-220-110","COOLENS","ObjectTelecentric","","0","0","0.1","16","0","0","0.5","220","3","16","0.1","1.3","0","8","false","COOLENS WWK large-format telecentric official product list"
"WWK05-220-111","COOLENS","ObjectTelecentric","","0","0","0.1","18","0","0","0.5","220","3","18","0.1","1.1","0","7","false","COOLENS WWK large-format telecentric official product list"
"WWK05-220C-110","COOLENS","ObjectTelecentric","","0","0","0.1","16","0","0","0.5","220","3","16","0.1","1.3","0","8","false","COOLENS WWK large-format telecentric official product list"
"WWK05-220C-111","COOLENS","ObjectTelecentric","","0","0","0.1","18","0","0","0.5","220","3","18","0.1","1.1","0","7","false","COOLENS WWK large-format telecentric official product list"
"WWK055-220-110","COOLENS","ObjectTelecentric","","0","0","0.1","16","0","0","0.55","220","3","16","0.1","1.1","0","8","false","COOLENS WWK large-format telecentric official product list"
"WWK055-220-111","COOLENS","ObjectTelecentric","","0","0","0.1","18","0","0","0.55","220","3","18","0.1","1.3","0","10.1","false","COOLENS WWK large-format telecentric official product list"
"WWK055-220C-111","COOLENS","ObjectTelecentric","","0","0","0.1","18","0","0","0.55","220","3","18","0.1","1.3","0","10.1","false","COOLENS WWK large-format telecentric official product list"
"WWK06-110-111V3-25M","COOLENS","ObjectTelecentric","C","0","0","0.1","18.4","25","0","0.6","110","2","18.4","0.02","0","0","7","false","COOLENS WWK large-format telecentric lens official product detail"
"WWK06-110C-111V3-25M","COOLENS","ObjectTelecentric","C","0","0","0.1","18.4","25","0","0.6","110","2","18.4","0.02","0","0","7","true","COOLENS WWK large-format telecentric lens official product detail"
"WWK063-110-111V3","COOLENS","ObjectTelecentric","","0","0","0.1","18","0","0","0.63","110","0","18","20.3","0.7","0","7","false","COOLENS WWK large-format telecentric official product list"
"WWK063-110C-111V3","COOLENS","ObjectTelecentric","","0","0","0.1","18","0","0","0.63","110","0","18","20.3","0.7","0","7","false","COOLENS WWK large-format telecentric official product list"
"WWK066-110-110","COOLENS","ObjectTelecentric","","0","0","0.02","16","0","0","0.66","110","0","16","0.01","0.6","0","7","false","COOLENS WWK large-format telecentric official product list"
"WWK066-110C-110","COOLENS","ObjectTelecentric","","0","0","0.02","16","0","0","0.66","110","0","16","0.01","0.6","0","7","false","COOLENS WWK large-format telecentric official product list"
"WWK07-105-111V3-25M","COOLENS","ObjectTelecentric","","0","0","0","18.4","0","0","0.7","105","0","18.4","0.03","0","0","7","false","COOLENS WWK large-format telecentric official product list"
"WWK07-105CP-111V3-25M","COOLENS","ObjectTelecentric","","0","0","0.1","18.4","0","0","0.7","105","0","18.4","0","0","0","7","false","COOLENS WWK large-format telecentric official product list"
"WWK07-108-110","COOLENS","ObjectTelecentric","","0","0","0.02","16","0","0","0.7","108","0","16","0.02","0.6","0","7","false","COOLENS WWK large-format telecentric official product list"
"WWK07-108C-110","COOLENS","ObjectTelecentric","","0","0","0.02","16","0","0","0.7","108","0","16","0.02","0.6","0","7","false","COOLENS WWK large-format telecentric official product list"
"WWK075-115-111V3-G-SM","COOLENS","ObjectTelecentric","","0","0","0.15","18.4","0","0","0.75","115","0","18.4","17.1","0.9","0","6.6","false","COOLENS WWH 5MP telecentric official product list"
"WWK08-110-111V3","COOLENS","ObjectTelecentric","","0","0","0.08","18","0","0","0.8","110","2","18","16","0.4","0","6.6","false","COOLENS WWK large-format telecentric official product list"
"WWK08-110-111V3-25M","COOLENS","ObjectTelecentric","","0","0","0.08","18","0","0","0.8","110","2","18","16","0.4","0","6.6","false","COOLENS WWK large-format telecentric official product list"
"WWK08-110-111V4-D25","COOLENS","ObjectTelecentric","","0","0","0.1","18","0","0","0.8","110","2","18","0.1","2","0","7.9","false","COOLENS WWK large-format telecentric official product list"
"WWK08-110C-111","COOLENS","ObjectTelecentric","","0","0","0.1","18","0","0","0.8","110","2","18","0.1","0.5","0","7.9","false","COOLENS WWK large-format telecentric official product list"
"WWK08-110CP-111V3","COOLENS","ObjectTelecentric","","0","0","0.04","18","0","0","0.8","110","2","18","16","0.4","0","6.6","false","COOLENS WWK large-format telecentric official product list"
"WWK08-110CP-111V3-25M","COOLENS","ObjectTelecentric","","0","0","0.04","18","0","0","0.8","110","2","18","16","0.4","0","6.6","false","COOLENS WWK large-format telecentric official product list"
"WWK08-180-111V3","COOLENS","ObjectTelecentric","","0","0","0.04","18","0","0","0.8","180","0","18","0.08","1","0","8","false","COOLENS WWK large-format telecentric official product list"
"WWK08-180C-111V3","COOLENS","ObjectTelecentric","","0","0","0.04","18","0","0","0.8","180","0","18","0.08","1","0","8","false","COOLENS WWK large-format telecentric official product list"
"WWK10-110-111","COOLENS","ObjectTelecentric","","0","0","0.13","18","0","0","1","110","2","18","0.18","0.3","0","7","false","COOLENS WWK large-format telecentric official product list"
"WWK10-110-111V3","COOLENS","ObjectTelecentric","","0","0","0.1","18.4","0","0","1","110","2","18.4","12.8","0.3","0","7","false","COOLENS WWK large-format telecentric official product list"
"WWK10-110-111V3-25M","COOLENS","ObjectTelecentric","","0","0","0.06","18.4","0","0","1","110","2","18.4","12.8","0.3","0","7","false","COOLENS WWK large-format telecentric official product list"
"WWK10-110C-111","COOLENS","ObjectTelecentric","","0","0","0.13","18","0","0","1","110","2","18","0.18","0.3","0","7","false","COOLENS WWK large-format telecentric official product list"
"WWK10-110C-111V3-25M","COOLENS","ObjectTelecentric","","0","0","0.1","18.4","0","0","1","110","2","18.4","12.8","0.3","0","7","false","COOLENS WWK large-format telecentric official product list"
"WWK10-110CP-111V3","COOLENS","ObjectTelecentric","","0","0","0.06","18.4","0","0","1","110","2","18.4","12.8","0.3","0","7","false","COOLENS WWK large-format telecentric official product list"
"WWK10-180-111V3","COOLENS","ObjectTelecentric","","0","0","0.01","18","0","0","1","180","0","18","0.08","0.6","0","8","false","COOLENS WWK large-format telecentric official product list"
"WWK10-180C-111V3","COOLENS","ObjectTelecentric","","0","0","0.01","18","0","0","1","180","0","18","0.08","0.6","0","8","false","COOLENS WWK large-format telecentric official product list"
"WWK13-98-111","COOLENS","ObjectTelecentric","","0","0","0.1","18","0","0","1.3","98","0","18","0.1","0.25","0","8.4","false","COOLENS WWK large-format telecentric official product list"
"WWK15-110-111","COOLENS","ObjectTelecentric","","0","0","0.1","18","0","0","1.5","110","2","18","0.1","0.18","0","10","false","COOLENS WWK large-format telecentric official product list"
"WWK15-110C-111","COOLENS","ObjectTelecentric","","0","0","0.1","18","0","0","1.5","110","2","18","0.1","0.18","0","10","false","COOLENS WWK large-format telecentric official product list"
"WWK20-110-111","COOLENS","ObjectTelecentric","","0","0","0.1","18","0","0","2","110","2","18","0.1","0.14","0","13.5","false","COOLENS WWK large-format telecentric official product list"
"WWK20-110C-111","COOLENS","ObjectTelecentric","","0","0","0.1","18","0","0","2","110","2","18","0.1","0.14","0","13.5","false","COOLENS WWK large-format telecentric official product list"
"WWK30-110-111","COOLENS","ObjectTelecentric","","0","0","0.1","18","0","0","3","110","2","18","0.1","0.09","0","20.1","false","COOLENS WWK large-format telecentric official product list"
"WWK30-110C-111","COOLENS","ObjectTelecentric","","0","0","0.1","18","0","0","3","110","2","18","0.1","0.09","0","20.1","false","COOLENS WWK large-format telecentric official product list"
"WWK40-108-111V3","COOLENS","ObjectTelecentric","","0","0","0.07","18","0","0","4","108","2","18","3.2","0.05","0","20","false","COOLENS WWK large-format telecentric official product list"
"WWK40-108C-111V3","COOLENS","ObjectTelecentric","","0","0","0.07","18","0","0","4","108","2","18","3.2","0.05","0","20","false","COOLENS WWK large-format telecentric official product list"
"WWK50-260IR1050-110-AL","COOLENS","ObjectTelecentric","","0","0","0.02","16","0","0","5","260","0","16","0.01","0.05","0","29","false","COOLENS WWK large-format telecentric official product list"
"WWK60-108-111V3","COOLENS","ObjectTelecentric","","0","0","0.04","18","0","0","6","108","2","18","2.1","0.03","0","29.7","false","COOLENS WWK large-format telecentric official product list"
"WWK60-108C-111V3","COOLENS","ObjectTelecentric","","0","0","0.04","18","0","0","6","108","2","18","2.1","0.03","0","29.7","false","COOLENS WWK large-format telecentric official product list"
"WWK80-108-111V3","COOLENS","ObjectTelecentric","","0","0","0.08","18","0","0","8","108","2","18","1.6","0.25","0","40.4","false","COOLENS WWK large-format telecentric official product list"
"WWK80-108C-111V3","COOLENS","ObjectTelecentric","","0","0","0.08","18","0","0","8","108","2","18","1.6","0.25","0","40.4","false","COOLENS WWK large-format telecentric official product list"
"WWL05-110AT","COOLENS","ObjectTelecentric","","0","0","0","6","0","0","0.5","110","0","6","0","3.7","0","11.6","false","COOLENS WWL standard telecentric official product list"
"WWL05-110CT","COOLENS","ObjectTelecentric","","0","0","0","6","0","0","0.5","110","0","6","0","3.7","0","11.6","false","COOLENS WWL standard telecentric official product list"
"WWL05-250A","COOLENS","ObjectTelecentric","","0","0","0","6","0","0","0.5","250","0","6","0","5.1","0","15.9","false","COOLENS WWL standard telecentric official product list"
"WWL06-65AT","COOLENS","ObjectTelecentric","","0","0","0","6","0","0","0.6","65","0","6","0","1.8","0","8","false","COOLENS WWL standard telecentric official product list"
"WWL06-65CT","COOLENS","ObjectTelecentric","","0","0","0","6","0","0","0.6","65","0","6","0","1.8","0","8","false","COOLENS WWL standard telecentric official product list"
"WWL08-130AT","COOLENS","ObjectTelecentric","","0","0","0","6","0","0","0.8","130","0","6","0","1.9","0","15.2","false","COOLENS WWL standard telecentric official product list"
"WWL08-130CT","COOLENS","ObjectTelecentric","","0","0","0","6","0","0","0.8","130","0","6","0","1.9","0","15.2","false","COOLENS WWL standard telecentric official product list"
"WWL08-150A","COOLENS","ObjectTelecentric","","0","0","0","6","0","0","0.8","150","0","6","0","1.7","0","13.6","false","COOLENS WWL standard telecentric official product list"
"WWL08-250AN","COOLENS","ObjectTelecentric","","0","0","0","6","0","0","0.8","250","0","6","0","2.2","0","17.5","false","COOLENS WWL standard telecentric official product list"
"WWL08-65AT","COOLENS","ObjectTelecentric","","0","0","0","6","0","0","0.8","65","0","6","0","1.5","0","11.9","false","COOLENS WWL standard telecentric official product list"
"WWL08-65CT","COOLENS","ObjectTelecentric","","0","0","0","6","0","0","0.8","65","0","6","0","1.5","0","11.9","false","COOLENS WWL standard telecentric official product list"
"WWL10-110AT","COOLENS","ObjectTelecentric","","0","0","0","6","0","0","1","110","0","6","0","1.1","0","13.7","false","COOLENS WWL standard telecentric official product list"
"WWL10-110CT","COOLENS","ObjectTelecentric","","0","0","0","6","0","0","1","110","0","6","0","1.1","0","13.7","false","COOLENS WWL standard telecentric official product list"
"WWL10-150AT","COOLENS","ObjectTelecentric","","0","0","0","6","0","0","1","150","0","6","0","1.9","0","23.5","false","COOLENS WWL standard telecentric official product list"
"WWL10-150CT","COOLENS","ObjectTelecentric","","0","0","0","6","0","0","1","150","0","6","0","1.9","0","23.5","false","COOLENS WWL standard telecentric official product list"
"WWL10-250A","COOLENS","ObjectTelecentric","","0","0","0","6","0","0","1","250","0","6","0","1.6","0","20","false","COOLENS WWL standard telecentric official product list"
"WWL10-250C","COOLENS","ObjectTelecentric","","0","0","0","6","0","0","1","250","0","6","0","1.6","0","20","false","COOLENS WWL standard telecentric official product list"
"WWL10-65ATN","COOLENS","ObjectTelecentric","","0","0","0","6","0","0","1","65","0","6","0","1","0","12.1","false","COOLENS WWL standard telecentric official product list"
"WWL10-65CTN","COOLENS","ObjectTelecentric","","0","0","0","6","0","0","1","65","0","6","0","1","0","12.1","false","COOLENS WWL standard telecentric official product list"
"WWL15-110AN","COOLENS","ObjectTelecentric","","0","0","0","6","0","0","1.5","110","0","6","0","0.5","0","13.6","false","COOLENS WWL standard telecentric official product list"
"WWL15-110CN","COOLENS","ObjectTelecentric","","0","0","0","6","0","0","1.5","110","0","6","0","0.5","0","13.6","false","COOLENS WWL standard telecentric official product list"
"WWL15-150AT","COOLENS","ObjectTelecentric","","0","0","0","6","0","0","1.5","150","0","6","0","1","0","27.1","false","COOLENS WWL standard telecentric official product list"
"WWL15-150CT","COOLENS","ObjectTelecentric","","0","0","0","6","0","0","1.5","150","0","6","0","1","0","27.1","false","COOLENS WWL standard telecentric official product list"
"WWL15-250A","COOLENS","ObjectTelecentric","","0","0","0","6","0","0","1.5","250","0","6","0","1.1","0","29.7","false","COOLENS WWL standard telecentric official product list"
"WWL15-250C","COOLENS","ObjectTelecentric","","0","0","0","6","0","0","1.5","250","0","6","0","1.1","0","29.7","false","COOLENS WWL standard telecentric official product list"
"WWL15-65AT","COOLENS","ObjectTelecentric","","0","0","0","6","0","0","1.5","65","0","6","0","0.4","0","12","false","COOLENS WWL standard telecentric official product list"
"WWL15-65CT","COOLENS","ObjectTelecentric","","0","0","0","6","0","0","1.5","65","0","6","0","0.4","0","12","false","COOLENS WWL standard telecentric official product list"
"WWL20-110ATS","COOLENS","ObjectTelecentric","","0","0","0","6","0","0","2","110","0","6","0","0.5","0","23.7","false","COOLENS WWL standard telecentric official product list"
"WWL20-110CTS","COOLENS","ObjectTelecentric","","0","0","0","6","0","0","2","110","0","6","0","0.5","0","23.7","false","COOLENS WWL standard telecentric official product list"
"WWL20-150AT","COOLENS","ObjectTelecentric","","0","0","0","6","0","0","2","150","0","6","0","0.6","0","32.4","false","COOLENS WWL standard telecentric official product list"
"WWL20-150CT","COOLENS","ObjectTelecentric","","0","0","0","6","0","0","2","150","0","6","0","0.6","0","32.4","false","COOLENS WWL standard telecentric official product list"
"WWL20-250A","COOLENS","ObjectTelecentric","","0","0","0","6","0","0","2","250","0","6","0","0.8","0","40","false","COOLENS WWL standard telecentric official product list"
"WWL20-250C","COOLENS","ObjectTelecentric","","0","0","0","6","0","0","2","250","0","6","0","0.8","0","40","false","COOLENS WWL standard telecentric official product list"
"WWL20-65AT","COOLENS","ObjectTelecentric","","0","0","0","6","0","0","2","65","0","6","0","0.3","0","13.7","false","COOLENS WWL standard telecentric official product list"
"WWL20-65CT","COOLENS","ObjectTelecentric","","0","0","0","6","0","0","2","65","0","6","0","0.3","0","13.7","false","COOLENS WWL standard telecentric official product list"
"WWL25-110A","COOLENS","ObjectTelecentric","","0","0","0","6","0","0","2.5","110","0","6","0","0.3","0","26.7","false","COOLENS WWL standard telecentric official product list"
"WWL25-110C","COOLENS","ObjectTelecentric","","0","0","0","6","0","0","2.5","110","0","6","0","0.3","0","26.7","false","COOLENS WWL standard telecentric official product list"
"WWL30-110AT","COOLENS","ObjectTelecentric","","0","0","0","6","0","0","3","110","0","6","0","0.3","0","31.2","false","COOLENS WWL standard telecentric official product list"
"WWL30-110CT","COOLENS","ObjectTelecentric","","0","0","0","6","0","0","3","110","0","6","0","0.3","0","31.2","false","COOLENS WWL standard telecentric official product list"
"WWL30-150AT","COOLENS","ObjectTelecentric","","0","0","0","6","0","0","3","150","0","6","0","0.4","0","45.5","false","COOLENS WWL standard telecentric official product list"
"WWL30-150CT","COOLENS","ObjectTelecentric","","0","0","0","6","0","0","3","150","0","6","0","0.4","0","45.5","false","COOLENS WWL standard telecentric official product list"
"WWL30-65A","COOLENS","ObjectTelecentric","","0","0","0","6","0","0","3","65","0","6","0","0.2","0","24.8","false","COOLENS WWL standard telecentric official product list"
"WWL30-65C","COOLENS","ObjectTelecentric","","0","0","0","6","0","0","3","65","0","6","0","0.2","0","24.8","false","COOLENS WWL standard telecentric official product list"
"WWL40-110A","COOLENS","ObjectTelecentric","","0","0","0","6","0","0","4","110","0","6","0","0.2","0","36.3","false","COOLENS WWL standard telecentric official product list"
"WWL40-110C","COOLENS","ObjectTelecentric","","0","0","0","6","0","0","4","110","0","6","0","0.2","0","36.3","false","COOLENS WWL standard telecentric official product list"
"WWL40-150A","COOLENS","ObjectTelecentric","","0","0","0","6","0","0","4","150","0","6","0","0","0","8.2","false","COOLENS WWL standard telecentric official product list"
"WWL40-150C","COOLENS","ObjectTelecentric","","0","0","0","6","0","0","4","150","0","6","0","0","0","8.2","false","COOLENS WWL standard telecentric official product list"
"WWL40-65A","COOLENS","ObjectTelecentric","","0","0","0","6","0","0","4","65","0","6","0","0.2","0","34.9","false","COOLENS WWL standard telecentric official product list"
"WWL40-65C","COOLENS","ObjectTelecentric","","0","0","0","6","0","0","4","65","0","6","0","0.2","0","34.9","false","COOLENS WWL standard telecentric official product list"
"WWL60-65AT","COOLENS","ObjectTelecentric","","0","0","0","6","0","0","6","65","0","6","0","0.1","0","39.2","false","COOLENS WWL standard telecentric official product list"
"WWL60-65CT","COOLENS","ObjectTelecentric","","0","0","0","6","0","0","6","65","0","6","0","0.1","0","39.2","false","COOLENS WWL standard telecentric official product list"
